SUBURB,PRICE_LAND
Osborne Park,1367.7745365697951
Padbury,818.6042568291855
Palmyra,1331.8181995089212
Parkerville,316.56596209999685
Parkwood,790.0284590771204
Parmelia,413.3133764288099
Pearsall,1120.5350198317599
Peppermint Grove,2676.1012133645227
Piara Waters,1095.5174277064023
Pickering Brook,294.009009009009
Port Kennedy,593.6683887265552
Queens Park,1066.0296227931883
Quinns Rocks,802.0344341380105
Redcliffe,1015.2688377697513
Ridgewood,846.083074694562
Riverton,1247.5671273159453
Rivervale,1043.1140749188967
Rockingham,857.4293937350101
Roleystone,293.967094545439
Rossmoyne,1551.2355909197197
Safety Bay,599.0301925999836
Salter Point,2004.999021450985
Samson,773.0398319579826
Sawyers Valley,305.04050645115757
Scarborough,1777.353775731398
Secret Harbour,782.0861132430186
Serpentine,306.71182441840523
Seville Grove,595.9726804391082
Shelley,1616.4157781572392
Shenton Park,3176.609534571481
Shoalwater,838.2607028944002
Sinagra,967.3619049020691
Singleton,633.0402481226818
Sorrento,1413.1607517462548
South Fremantle,2833.685621837188
South Guildford,1019.4967866244222
South Lake,707.0269438283218
South Perth,2370.504723825482
Southern River,1060.8629586003958
Spearwood,996.9051383914681
St James,1067.712213027673
Stirling,1688.7824119924526
Stoneville,250.68976296044625
Stratton,672.2411151914258
Subiaco,3546.2870279019335
Success,925.6098559093604
Swan View,562.2040703396817
Swanbourne,3350.8358660449085
Tapping,835.0929995303443
The Vines,837.0965220073233
Thornlie,635.5800772439364
Trigg,2150.916405561017
Tuart Hill,1469.8247818952382
Two Rocks,549.1067972338562
Upper Swan,306.0296900946316
Victoria Park,1995.1710622766143
Viveash,835.9588259587897
Waikiki,614.7463198079113
Walliston,462.53813021028867
Wandi,1255.7974610699641
Wangara,1041.6666666666667
Wanneroo,743.5257646967691
Warnbro,502.3199023174636
Warwick,868.5702009760461
Waterford,1598.0637064581085
Watermans Bay,1814.309221132645
Wattle Grove,1004.3610619386677
Wellard,775.2597677624447
Wembley,2071.0494784683965
Wembley Downs,1882.0717676290662
West Leederville,3166.8131998755916
West Perth,2387.226667017509
West Swan,376.20897942932334
Westminster,876.9055498422086
White Gum Valley,1619.0012213768355
Willagee,1093.7919051526465
Willetton,953.10521790613
Wilson,1092.2339113639073
Winthrop,1266.3706722686763
Woodbridge,1206.785583070968
Woodlands,1907.1390223054887
Woodvale,989.9259929395018
Wooroloo,168.71270450887596
Yanchep,786.9206606157065
Yangebup,747.2980123047968
Yokine,1596.1200418525386
